Columns Steel - Data,,,,,,,,,,,,,,,,,
Mark,Type Mark,Family,Type,Classification.MasterFormat.Description,Classification.MasterFormat.Number,Count,Base Level,Base Offset,Top Level,Top Offset,Length,Column Location Mark,BHE_Material,Workset,BHE_Material Grade,Tonnage By Volume,
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1D1(-2565.599)-121(690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1D1(-2565.599)-123(-690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1D1(-2565.599)-124(690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1D1(-2339.827)-124(-1267.600),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1D1(-2339.827)-125(1267.600),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 01 SSL,-160,LEVEL 03 SSL,-763,18177,1D1(-2565.599)-116(-690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.049 m³,0.381074
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 01 SSL,-160,LEVEL 03 SSL,-763,18177,1D1(-2565.599)-117(690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.049 m³,0.381074
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1D1(-2565.613)-16(690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-625,10585,1D1(-2565.613)-15(-690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.221911
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1D1(-2565.613)-14(690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-635,10575,1D1(-2565.613)-13(-690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.221701
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1D1(-2339.827)-12(1267.600),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1D1(-2339.827)-11(-1267.600),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 01 SSL,-160,LEVEL 03 SSL,-763,18177,1D1(-2565.599)-110(690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.049 m³,0.381074
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 01 SSL,-160,LEVEL 03 SSL,-625,18315,1D1(-2565.599)-19(-690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.049 m³,0.383967
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 01 SSL,-160,LEVEL 03 SSL,-763,18177,1E2(-494.229)-118(690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.049 m³,0.381074
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 01 SSL,-160,LEVEL 03 SSL,-763,18177,1E2(-494.229)-117(-690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.049 m³,0.381074
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 01 SSL,-160,LEVEL 03 SSL,-763,18177,1E2(-494.229)-112(690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.049 m³,0.381074
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 01 SSL,-160,LEVEL 03 SSL,-763,18177,1E2(-494.229)-111(-690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.049 m³,0.381074
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1E2(-494.229)-119(-690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1E2(-494.229)-120(690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1E2(-494.229)-120(-690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1E2(-494.229)-121(690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1E2(-494.229)-123(-690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1E2(-494.229)-124(690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1E2(-494.229)-117(690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1E2(-494.229)-116(-690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
,100-CS202,BHE_StructuralColumns_CircularHollowSections-Column,CHS114.3x8,Structural Steel Framing,05 12 00,1,LEVEL 02 SSL,-160,LEVEL 03 SSL,-763,10447,1E2(-494.229)-116(690.000),Steel,BHE_ELEM_New Structure Turbine Hall,,0.028 m³,0.219018
